Kmstand;FzgMarke;Modell;Kraftstoff_diesel;Getriebe;Angebotsart;Preis;Leistung;Baujahr;Anzahl verkaufte Autos;
176000;Fiat;Punto;Gasoline;Manual;Used;2.790,00 €;77;2012;;
105000;Fiat;Panda;Gasoline;Manual;Used;2.790,00 €;69;2012;;
72000;Dacia;Sandero;Gasoline;Manual;Used;2.790,00 €;75;2011;;
249789;Opel;Zafira;Diesel;Manual;Used;2.799,00 €;125;2011;;
81000;Nissan;Pixo;Gasoline;Manual;Used;2.799,00 €;68;2011;;
85701;Toyota;Aygo;Gasoline;Manual;Used;2.799,00 €;68;2011;;
174000;Opel;Corsa;Gasoline;Manual;Used;2.799,00 €;87;2011;;
215499;SEAT;Ibiza;Diesel;Manual;Used;2.799,00 €;75;2011;;
150488;Fiat;Punto Evo;Gasoline;Manual;Used;2.799,00 €;69;2012;;
136100;Toyota;Aygo;Gasoline;Manual;Used;2.799,00 €;68;2011;;
112000;Peugeot;207;Gasoline;Manual;Used;2.799,00 €;73;2011;;
45000;Skoda;Citigo;Gasoline;Manual;Used;2.799,00 €;60;2012;;
200000;Ford;Fiesta;Gasoline;Manual;Used;2.800,00 €;82;2011;;
82500;Suzuki;Alto;Gasoline;Manual;Used;2.800,00 €;68;2011;;
81480;Chevrolet;Spark;Gasoline;Manual;Used;2.800,00 €;82;2012;;
199000;Fiat;Grande Punto;Gasoline;Manual;Used;2.800,00 €;69;2011;;
199000;Fiat;Punto;Gasoline;Manual;Used;2.800,00 €;69;2011;;
238000;Renault;Trafic;Diesel;Manual;Used;2.800,00 €;114;2011;;
166000;Skoda;Fabia;Gasoline;Manual;Used;2.800,00 €;69;2011;;
104000;Renault;Twingo;Gasoline;Manual;Used;2.800,00 €;75;2011;;
167000;Ford;Fiesta;Gasoline;Manual;Used;2.800,00 €;60;2011;;
56000;Renault;Modus;Gasoline;Manual;Used;2.800,00 €;75;2011;;
191000;Fiat;Punto Evo;Gasoline;Manual;Used;2.800,00 €;77;2013;;
69900;Hyundai;Getz;Gasoline;Manual;Used;2.800,00 €;67;2011;;
116422;Renault;Twingo;Gasoline;Manual;Used;2.800,00 €;73;2011;;
163000;Mitsubishi;Colt;Gasoline;Manual;Used;2.800,00 €;95;2011;;
85000;Opel;Combo;Diesel;Manual;Used;2.800,00 €;75;2011;;
167135;Daihatsu;Sirion;Gasoline;Manual;Used;2.800,00 €;91;2011;;
135000;Chevrolet;Spark;Gasoline;Manual;Used;2.800,00 €;68;2012;;
144000;Renault;Twingo;Gasoline;Manual;Used;2.850,00 €;75;2012;;
132000;Hyundai;i10;Gasoline;Manual;Used;2.850,00 €;69;2012;;
231000;Ford;Focus;Diesel;Manual;Used;2.850,00 €;109;2011;;
212650;Skoda;Roomster;Diesel;Manual;Used;2.850,00 €;90;2015;;
95487;Fiat;Panda;Gasoline;Manual;Used;2.850,00 €;69;2011;;
119000;Suzuki;Alto;Gasoline;Manual;Used;2.890,00 €;68;2011;;
113487;Hyundai;i10;Gasoline;Manual;Used;2.890,00 €;69;2012;;
114300;Dacia;Sandero;Gasoline;Manual;Used;2.890,00 €;75;2012;;
224146;Fiat;Grande Punto;Diesel;Manual;Used;2.890,00 €;75;2012;;
102000;Mitsubishi;Colt;Gasoline;Manual;Used;2.890,00 €;75;2012;;
154495;Volkswagen;up!;Gasoline;Manual;Used;2.897,00 €;60;2011;;
137000;Toyota;Aygo;Gasoline;Manual;Used;2.900,00 €;68;2011;;
92500;Fiat;Punto Evo;Gasoline;Manual;Used;2.900,00 €;69;2012;;
106200;Kia;Picanto;Gasoline;Manual;Used;2.900,00 €;69;2011;;
119680;Peugeot;206;Diesel;Manual;Used;2.900,00 €;68;2011;;
153440;Nissan;Qashqai;Diesel;Manual;Used;2.900,00 €;110;2011;;
93000;Renault;Twingo;Gasoline;Manual;Used;2.900,00 €;75;2011;;
98089;Hyundai;i10;Gasoline;Manual;Used;2.900,00 €;69;2011;;
95000;Peugeot;206;Gasoline;Manual;Used;2.900,00 €;60;2011;;
103803;Citroen;C1;Gasoline;Automatic;Used;2.900,00 €;68;2011;;
229000;Renault;Kangoo;Diesel;Manual;Used;2.900,00 €;86;2011;;
225000;Citroen;C3;Diesel;Manual;Used;2.900,00 €;68;2012;;
118600;Citroen;C1;Gasoline;Manual;Used;2.900,00 €;68;2012;;
197000;Ford;Fiesta;Diesel;Manual;Used;2.900,00 €;69;2012;;
128000;Chevrolet;Spark;Gasoline;Manual;Used;2.900,00 €;68;2012;;
64000;Chevrolet;Spark;Gasoline;Manual;Used;2.900,00 €;68;2011;;
160000;Opel;Astra;Gasoline;Manual;Used;2.900,00 €;120;2011;;
165500;Peugeot;207;Gasoline;Manual;Used;2.900,00 €;120;2011;;
72800;Citroen;C1;Gasoline;Manual;Used;2.900,00 €;68;2011;;
300000;Opel;Corsa;Diesel;Manual;Used;2.900,00 €;95;2011;;
170000;Opel;Corsa;Gasoline;Manual;Used;2.900,00 €;69;2012;;
93850;Renault;Grand Scenic;Diesel;Unbekannt;Used;7.990,00 €;110;2012;;
99758;Renault;Clio;Gasoline;Manual;Used;2.900,00 €;75;2012;;
150000;Skoda;Fabia;Diesel;Manual;Used;2.900,00 €;75;2012;;
200016;Dacia;Dokker;Gasoline;Manual;Used;2.900,00 €;83;2015;;
148000;smart;forTwo;Gasoline;Semi-automatic;Used;2.940,00 €;61;2011;;
218555;SEAT;Mii;Gasoline;Manual;Used;2.950,00 €;60;2014;;
96150;Volkswagen;Fox;Gasoline;Manual;Used;2.950,00 €;60;2011;;
159000;Ford;Ka/Ka+;Diesel;Manual;Used;2.950,00 €;75;2011;;
97000;Ford;Ka/Ka+;Gasoline;Manual;Used;2.950,00 €;69;2011;;
90000;Renault;Clio;Gasoline;Manual;Used;2.950,00 €;75;2011;;
150000;Chevrolet;Spark;Gasoline;Manual;Used;2.950,00 €;68;2011;;
117000;Nissan;Micra;Gasoline;Manual;Used;2.950,00 €;65;2011;;
141580;Renault;Twingo;Gasoline;Manual;Used;2.950,00 €;75;2012;;
280698;Ford;Fiesta;Diesel;Manual;Used;2.950,00 €;69;2012;;
81680;Chevrolet;Spark;Gasoline;Manual;Used;2.950,00 €;68;2011;;
93000;Peugeot;206;Gasoline;Manual;Used;2.950,00 €;60;2011;;
365524;Mercedes-Benz;CLC;Gasoline;Manual;Used;2.950,00 €;184;2011;;
150528;Kia;Picanto;LPG;Manual;Used;2.950,00 €;69;2012;;
123500;Renault;Twingo;Gasoline;Manual;Used;2.950,00 €;75;2013;;
50800;Chevrolet;Spark;Gasoline;Manual;Used;2.950,00 €;68;2012;;
146325;Chevrolet;Spark;Gasoline;Manual;Used;2.950,00 €;82;2011;;
62400;Nissan;Pixo;Gasoline;Manual;Used;2.950,00 €;68;2011;;
85000;Nissan;Micra;Gasoline;Manual;Used;2.950,00 €;80;2011;;
74689;Fiat;Punto Evo;Gasoline;Manual;Used;2.950,00 €;69;2011;;
145587;Ford;Fiesta;Diesel;Manual;Used;2.950,00 €;69;2011;;
123772;Suzuki;Alto;Gasoline;Manual;Used;2.950,00 €;68;2012;;
234200;Renault;Clio;Diesel;Manual;Used;2.970,00 €;88;2011;;
139000;Fiat;Panda;Gasoline;Manual;Used;2.970,00 €;69;2012;;
108438;Fiat;Punto;Gasoline;Manual;Used;2.980,00 €;69;2013;;
191800;SEAT;Exeo;Diesel;Manual;Used;2.980,00 €;143;2011;;
56641;Renault;Clio;Gasoline;Manual;Used;2.980,00 €;75;2011;;
116000;Mitsubishi;Colt;Gasoline;Manual;Used;2.985,00 €;75;2012;;
85200;Ford;Ka/Ka+;Gasoline;Manual;Used;2.990,00 €;69;2013;;
220000;Skoda;Roomster;Diesel;Manual;Used;2.990,00 €;75;2011;;
70000;Opel;Corsa;Gasoline;Manual;Used;2.990,00 €;87;2011;;
100000;Hyundai;i10;Gasoline;Manual;Used;2.990,00 €;69;2012;;
117200;Chevrolet;Spark;Gasoline;Manual;Used;2.990,00 €;82;2011;;
39025;Lada;Kalina;Gasoline;Manual;Used;2.990,00 €;90;2011;;
120971;Renault;Twingo;Gasoline;Manual;Used;2.990,00 €;58;2011;;
